seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_sdp,static_dp,adversarial,data_poisoning,1,0.7343333333333333,0.7143309295713535,1.6716666666666664
2025,ep_sdp,static_dp,adversarial,data_poisoning,2,0.8226666666666667,0.8293839024776652,2.1133333333333333
2025,ep_sdp,static_dp,adversarial,data_poisoning,3,0.8903333333333333,0.8915205992911645,2.451666666666666
2025,ep_sdp,static_dp,adversarial,data_poisoning,4,0.874,0.8734976907469308,2.37
2025,ep_sdp,static_dp,adversarial,data_poisoning,5,0.9576666666666668,0.9572326329587468,2.788333333333334
2025,ep_sdp,static_dp,adversarial,data_poisoning,6,0.9413333333333334,0.941525867902258,2.706666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,7,0.9423333333333334,0.9404739981863202,2.711666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,8,0.9653333333333334,0.9648733691967828,2.826666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,9,0.9656666666666668,0.9652428742156128,2.828333333333334
2025,ep_sdp,static_dp,adversarial,data_poisoning,10,0.9553333333333334,0.955380956649286,2.7766666666666673
2025,ep_sdp,static_dp,adversarial,data_poisoning,11,0.8433333333333334,0.8371712927106721,2.216666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,12,0.7873333333333333,0.7721180228089529,1.9366666666666665
2025,ep_sdp,static_dp,adversarial,data_poisoning,13,0.8076666666666666,0.8047287058828685,2.038333333333333
2025,ep_sdp,static_dp,adversarial,data_poisoning,14,0.883,0.8832794676700723,2.415
2025,ep_sdp,static_dp,adversarial,data_poisoning,15,0.9416666666666668,0.9406818053348804,2.708333333333334
2025,ep_sdp,static_dp,adversarial,data_poisoning,16,0.9226666666666666,0.9207398729715598,2.6133333333333333
2025,ep_sdp,static_dp,adversarial,data_poisoning,17,0.8056666666666666,0.8031641689857695,2.0283333333333333
2025,ep_sdp,static_dp,adversarial,data_poisoning,18,0.9483333333333334,0.9469713393520828,2.741666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,19,0.8513333333333334,0.8494573199328301,2.256666666666667
2025,ep_sdp,static_dp,adversarial,data_poisoning,20,0.8083333333333333,0.7923193775058834,2.041666666666667
